rownames(fore),OR,l_OR,u_OR,P,odds_ratios,odds_ratios_lower,odds_ratios_upper
,OR,l_OR,u_OR,P,,,
TNF-a,0.989,0.95,1.027,0.028,0.989,0.95,1.027
IL-6,1.005,0.965,1.05,0.317,1.005,0.965,1.05
Claudin-5,1.082,1.046,1.13,<0.001***,1.082,1.046,1.13
Zonulin,0.931,0.886,0.968,0.001**,0.931,0.886,0.968
